001A481A4603F069406B17BFDE70A3C8	Nothing Urgent	안 급함
5658D0884C5428FC74515FA556C192EA	You don't need to use the toilet right now.	당장 화장실에 갈 필요는 없습니다.
21A3F46B4C73CC1CE7843B8008A526B8	Not Tired	안 피곤함
1E8B020B458F68E9B74AB79A96C35A5B	You aren't tired right now.	당장은 피곤하지 않습니다.
73BB56D6470F03A4D8264580625F11BE	Not Hungry	안 배고픔
B4499F0C4E831D9C277953B742ACA950	You aren't hungry.	배고프지 않습니다.
36155FB24C20A543CF14BDBE265C350B	Not Thirsty	목 안 마름
E17CA59945C0B61B296189B6D995431A	You aren't thirsty.	목 마르지 않습니다.
9EF8AF0644084FC7130914826B366778	Slushie Machine	슬러시 기계
704AA5E14A6189E91C3799AD8FFDACDC	buy a slushie ( ${cost} )	슬러시 구매 ( ${cost} )
30A6FA0F4FF29EA37E4602B279DEBE9B	You have ${1}	가진 돈 : ${1}
4C250BAB4E2DC0C77FD0689B34EAA9EF	Power Socket	콘센트
137C5C47446781D4C10ED787F85D8E50	Connected to {device}	{device}|hpp(과,와) 연결됨
D76E1F374C0D1FE3C326FF96C3C045AA	Set Bonus: {1} - {2} (Requires at least {3} pieces)	세트 보너스: {1} - {2} (최소 {3}개 필요함)
9CC601DC4EFC0582A55E06A4F6AEFD9F	Request Tram	트램 부르기
E35A709348D9EA282F3D7E94F961CAD5	RECALL LOCKED	복귀 불가
DBE05BA04B72BDA77C4F20A1B963F12B	Recall Tram in transit from {Station}	{Station}에서 출발한 트램 복귀시키기
787DF7484385336175067F90CADDDBA1	Send Tram to {Station}	{Station}|hpp(으로,로) 트램 보내기
A1A44C7B43B0380AA636C6BA607E59DA	Recall Tram from {Station}	{Station}에서 복귀시키기
E2C8DA1B46EF4685E708A3872A1934AB	Send Tram to UNKNOWN	[알 수 없음]으로 트램 보내기
B41745D84C01AB458D0123A1462B6A7F	Email Terminal	이메일 단말기
612994DE4521DF4EA2834493AD44B886	UPGRADE YOUR BENCH	제작대 업그레이드
682035E24DE7DA053F461C94CB51E7C9	REPAIR ITEM	아이템 수리
E87CECDD4A8F3C6980AB56891210724F	Click here and then click on the item you want to repair	이것을 클릭하고, 수리하고자 하는 아이템을 클릭하세요.
113D3E50435C364B75AA859719102F0A	SCRAP ITEM	아이템 분해
14D24E924EE991A39F8196A48E302F5F	Click here and then click on the item you want to scrap into other items	이것을 클릭하고, 분해해서 재료를 얻으려는 아이템을 클릭하세요.
93A8FA824D36828C4A0591B39174D624	CAUTION: This action can not be undone	주의: 이 행동은 되돌릴 수 없습니다
356DA08948A7CA76257DAA8C3824A78E	met a predictable end.	이(가) 예정된 죽음을 맞이했습니다.
17EF80EC4AEE1942127FEC8E9D987B5B	was boiled alive by acid.	이(가) 산성액에 녹아내렸습니다.
65C36FD64246A9A6486E619ADD4A9218	forgot to keep their blood inside their body.	이(가) 피가 새는 걸 막지 못했습니다.
1F9986BE4106BC993C6553AD1BAD1F26	experienced excessive blunt force trauma.	이(가) 심각한 둔기 외상을 겪었습니다.
A5489A824D1034EDA353B99BC846A958	got pummeled to death.	이(가) 두들겨 맞았습니다.
01DBF1EB4A8715C079014DBD2FEFCA0B	got hammered.	이(가) 고쳐졌습니다.
2C69CE90424EF742ADA43B8876BE78B9	was gunned down.	이(가) 사냥당했습니다.
8C93FFBC454E97D080FCE8A0DF9D1C40	was turned into swiss cheese.	이(가) 벌집이 됐습니다.
3B171E9C4F23B8ABEDBC4DA33A77FFFA	was riddled with bullets.	이(가) 총살당했습니다.
B4F2096F471964A2C4A4DA8D4941F79C	choked on smoke.	이(가) 연기에 질식했습니다.
44F746B749BE0ED53B4A51B027FE48B5	turned into an ice cube.	이(가) 냉동인간이 됐습니다.
AEB89C504272E57688A35FB413E107E2	made beautiful music.	이(가) 좋은 선율을 만들어냈습니다.
502499A541EFF07CE0EB7CA16DB1B1EB	didn't return from the reservoir.	이(가) 저수지에서 돌아오지 못했습니다.
D82D1FAE41D3CCE608B5F792FE582C5A	was sliced into bits.	이(가) 편육이 됐습니다.
8E19FA5F44323213F6AC4F8FEEBCA05E	was lost to the abyss.	이(가) 심연으로 떨어졌습니다.
8C4A4DCC42398EA0A59BF39860F94616	tried to reach the bottom.	이(가) 바닥이 어디까지인지 확인했습니다.
072C16A6402B23BE3558C095AEDD2281	went off the rails.	이(가) 선로를 이탈했습니다.
1839B6B34153C559BCDE83A211C38812	is sleeping with the fishes.	이(가) 물고기 밥이 됐습니다.
DCF600CD40150688C2211AB2679EAA82	made a fatal connection.	이(가) 감전사했습니다.
C890E9254291F908E3BC7B8228B8851F	swam where they didn't belong.	이(가) 잘못된 곳에서 수영했습니다.
B1EA326F43D1F1144E3F76A4F7AE96EF	rediscovered kinetic energy.	이(가) 운동에너지를 견디지 못했습니다.
9E0A24594CB446338CCEB0A4619720CF	Explosive	
213FF4A646CF5D65F2BC5B909495CFC7	was blown to bits.	이(가) 폭사했습니다.
A6897B92477D3D51D7EBC98D4076ED74	forgot about gravity.	이(가) 중력이 있다는 걸 깜빡했습니다.
920D58684FFC93F84A6797B73942503F	got a little too toasty.	이(가) 바삭해졌습니다.
0B28323147FA03CEF551F48DE1B2D6E1	was stepped upon.	이(가) 짓밟혔습니다.
B331D4184DA2C47E5C0A829CE4BC814E	was lasered.	이(가) 레이저에 지져졌습니다.
4B2A624B4D963EB2328F33AC108B5A66	died of a killer headache.	이(가) 두통을 견디지 못했습니다.
69B9D1514FC2E53C9783918DC78B8E34	met a fowl end.	이(가) 끔찍한 최후를 맞았습니다.
B684A99B41EA7039B5427BB298A05856	made contact with a machine intelligence.	이(가) 로봇에게 잘못 걸렸습니다.
790675654D20C1FEC1FAF49854AA7EF8	was sliced into bits.	이(가) 썰려나갔습니다.
DC682BB14458EB55DCD7A3B68C0F199D	was pierced by a bolt.	이(가) 화살에 맞았습니다.
A383CA9A4418E18D88A544B0FB4754EA	was turned into a porcupine.	이(가) 고슴도치가 됐습니다.
1A231B12421C1633DDE3209A125F76A8	did not survive the Night.	이(가) 밤을 넘기지 못했습니다.
