Dialogue/6C2C77B14D4F8C7D5777429F2F7E0C13_86CB0D7F00000000	(Coughing)	(기침)
Dialogue/276DA1F84C63031023EEF3BC83347A1F_EF8738C000000000	(Eating noises)	(먹는 소리)
Dialogue/4BBDFC5D4A47E3CF0401B79D8B38B6D6_F2E10BE100000000	(Eating noises)	(먹는 소리)
Dialogue/530C12B4426A8D911543908E30379B67_F2E10BE100000000	(Eating noises)	(먹는 소리)
Dialogue/61C0C985402AD4ECB7ED8E8CFE4F4C84_EF8738C000000000	(Eating noises)	(먹는 소리)
Dialogue/6A2A7D194C594C3B59495E88E4CAAC3C_F2E10BE100000000	(Eating noises)	(먹는 소리)
Dialogue/734D767A4B4F3CB94DFA6C9AEE38F7CB_EF8738C000000000	(Eating noises)	(먹는 소리)
Dialogue/952AE24E4D199AF1E9DB0EBCBC8E2AA0_EF8738C000000000	(Eating noises)	(먹는 소리)
Dialogue/B0CF70734F263D0C141041A7EB6E5426_EF8738C000000000	th	(먹는 소리)
Dialogue/D54DD2A24C78F10EB4A41197E77F1FB2_F2E10BE100000000	(Eating noises)	(먹는 소리)
Dialogue/85FEC6814A07DEB7FC579EB888FDFF79_EF8738C000000000	Too hot.	너무 더워.
Dialogue/002D44BA4544E7E9E5E0CF8EA3B186E4_F2E10BE100000000	(Groan)	(신음)
Dialogue/03BB12ED45C046A792A592A94CBA0005_F2E10BE100000000	(Groan)	(신음)
Dialogue/079EDE5644AA204BA1DEB8BFA0F704C9_F2E10BE100000000	(Groan)	(신음)
Dialogue/07C2D4B045FABE783CBCE992FFCA6105_EF8738C000000000	(Groan)	(신음)
Dialogue/09B478394803722F8C83AE80CC1AFDDB_EF8738C000000000	(Groan)	(신음)
Dialogue/0A0B4455477DC10D812454B053B4C7C3_F2E10BE100000000	(Groan)	(신음)
Dialogue/0D65DD464052910F2EBC9DBFEED72D11_F2E10BE100000000	(Groan)	(신음)
Dialogue/1A6A6E80482BE8CDCB5C099F8EC0A2B4_F2E10BE100000000	(Groan)	(신음)
Dialogue/1E10D87647634124DC73C9A1378531F6_EF8738C000000000	(Groan)	(신음)
Dialogue/2165F5A44716B72F1D6F4F894D6FE234_F2E10BE100000000	(Groan)	(신음)
Dialogue/3762B7164E50601B96E7AAB4759DA966_B19337C300000000	(Groan)	(신음)
Dialogue/390F541442FFCB5C47A4AE8DA238B5B3_EF8738C000000000	(Groan)	(신음)
Dialogue/3C84B9654EDB1169F5776DB831B66143_EF8738C000000000	(Groan)	(신음)
Dialogue/3E2D44454C02204333805EA10956D597_F2E10BE100000000	(Groan)	(신음)
Dialogue/48F05CC641B3817B83984EBD9A18CC2E_EF8738C000000000	(Groan)	(신음)
Dialogue/4A900EE5482B5C6F6CD237BF4B2B059A_B19337C300000000	(Groan)	(신음)
Dialogue/510726404601299542DB4093D1A8DCAC_EF8738C000000000	(Groan)	(신음)
Dialogue/55C8E95747FA7E1CB81C87A2C9B09D26_F2E10BE100000000	(Groan)	(신음)
Dialogue/58659FAA4CE6CC2021C6418FA2C61AA7_EF8738C000000000	(Groan)	(신음)
Dialogue/588D64C4464AF523942528804D599034_EF8738C000000000	(Groan)	(신음)
Dialogue/60C5DD6A40AF8E37D9C77AA768AA92CC_F2E10BE100000000	(Groan)	(신음)
Dialogue/7059488349492D2D610341BA9FB8293C_F2E10BE100000000	(Groan)	(신음)
Dialogue/749B1B7342BA2B04395DB181C196FF46_EF8738C000000000	(Groan)	(신음)
Dialogue/968CD8B3455DDDD4714EB892969D37E2_F2E10BE100000000	(Groan)	(신음)
Dialogue/9AC6E119476EBE842B58D98FC138C817_EF8738C000000000	(Groan)	(신음)
Dialogue/A3A35958429FD098FCB09DA04C8A9648_EF8738C000000000	(Groan)	(신음)
Dialogue/A3F7A55E4D158FAADAA33AB33D52A6C4_F2E10BE100000000	(Groan)	(신음)
Dialogue/A5978A53432B71081F81A9A38CA13EAA_B19337C300000000	(Groan)	(신음)
Dialogue/A88F203548C319F3E4416994EA159CB5_F2E10BE100000000	(Groan)	(신음)
Dialogue/B2BBC900480679B984C3149AF1A147A5_EF8738C000000000	(Groan)	(신음)
Dialogue/BECB5ACA4CFC6B3879A81F87AA5625C6_F2E10BE100000000	(Groan)	(신음)
Dialogue/C6B2154A47C59BD238FCA89F6E15B92F_EF8738C000000000	(Groan)	(신음)
Dialogue/DCB771374BE6CC0371649C8833B5C351_F2E10BE100000000	(Groan)	(신음)
Dialogue/13F5650A41DF636054B642AE4F1B602B_EF8738C000000000	(Grunt)	(끄응거림)
Dialogue/35EF543E4D4764EB5273BAB67E17E57C_98DBDC4800000000	(Grunt)	(끄응거림)
Dialogue/3CFCDCFA47B6D0E698997784CA64ACDD_EF8738C000000000	(Grunt)	(끄응거림)
Dialogue/3F8D28B544520FA207E30195348F4204_98DBDC4800000000	(Grunt)	(끄응거림)
Dialogue/694D1A82428A12F077CF489F0C2E3D51_98DBDC4800000000	(Grunt)	(끄응거림)
Dialogue/CD641FD74DAD0BFDF60780B7E320F3DF_EF8738C000000000	(Grunt)	(끄응거림)
Dialogue/D5131C104FCF3098DEE150B398099928_EF8738C000000000	(Grunt)	(끄응거림)
Dialogue/DE1E60BB4C565E52D16FCABD3A2EFEC8_EF8738C000000000	(Grunt)	(끄응거림)
Dialogue/E11108F74B24841D76DF08AB9D63194F_98DBDC4800000000	(Grunt)	(끄응거림)
Dialogue/F80DD07948C3EF02A5D4CBA15581537E_EF8738C000000000	(Grunt)	(끄응거림)
Dialogue/26C513EF444270BE49E7E8A13F0F7234_EF8738C000000000	(Heavy breathing)	(가쁜 호흡)
Dialogue/68444A4842D7BF0B0119DE9C1BEEA64C_EF8738C000000000	(Heavy breathing)	(가쁜 호흡)
Dialogue/9E0336CB4E628B994D6C3CBE66BCF491_EF8738C000000000	(Heavy breathing)	(가쁜 호흡)
Dialogue/ED5AA00746EF5D10313FADA1E19B4831_EF8738C000000000	(Heavy breathing)	(가쁜 호흡)
Dialogue/A84F5286480F3CA51C9E8B94FCD52530_AD7A481D00000000	(Humming ...) [10]The core, the deep, [14.6]the wires that weep ...[20]the heart, the eye, [25]unbring the sky ... [30]the hearth in flight, [35]the shackled sight ...[40]you keep the lock [44.8]and leave the light ...[54](Humming ...)	(흥얼거리며...) [10]코어, 깊은 물, [14.6]울부짖는 전선들...[20]심장, 눈, [25]하늘을 되돌려라... [30]비행의 안식처, [35]구속된 시선...[40]자물쇠를 지키고 [44.8]빛을 등지네...[54](흥얼거리며...)
Dialogue/E38201274E62A3CBECBD33B861C2F74E_28A5EA9400000000	(Humming)	(흥얼거림)
Dialogue/C7C3327F46BA9D3712F85697C9402031_AD7A481D00000000	(Humming) [10]The vril shall cease, abeyant hope ... [20.0]The deep, the dark ...[24.4]The fence, the moat ... [30]The vril shall cease, abeyant hope ... [39.0]The deep, the dark ... [42.4]The fence, the moat ...	(흥얼거리며) [10]브릴은 멈추리, 희망은 잠들고... [20.0]가장 깊고, 가장 어두운... [24.4]울타리와 경계가... [30]브릴은 멈추리, 희망은 잠들고... [39.0]가장 깊고, 가장 어두운... [42.4]울타리와 경계가... 
Dialogue/5C47928F4B58CD5C9F5D29A7D7A0BDF3_EF8738C000000000	Time to spend a penny, perhaps.	슬슬 볼일 좀 봐야 할 거 같아.
Dialogue/688ECFE94D45A19A5841E38ADEE23E2E_EF8738C000000000	Ha! Rather good.	하! 꽤 좋군.
Dialogue/0C53530B442A5B413AABE8AB67A364A3_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/31B9B916452C44292E5604AAAA8A6267_EF8738C000000000	(Light breathing)	(가벼운 호흡)
Dialogue/3260B23F41443570801134BADE554CF8_EF8738C000000000	(Light breathing)	(가벼운 호흡)
