001A481A4603F069406B17BFDE70A3C8	Nothing Urgent	안 급함
5658D0884C5428FC74515FA556C192EA	You don't need to use the toilet right now.	당장 화장실에 갈 필요는 없다.
21A3F46B4C73CC1CE7843B8008A526B8	Not Tired	안 피곤함
1E8B020B458F68E9B74AB79A96C35A5B	You aren't tired right now.	당장은 피곤하지 않다.
73BB56D6470F03A4D8264580625F11BE	Not Hungry	안 배고픔
B4499F0C4E831D9C277953B742ACA950	You aren't hungry.	배고프지 않다.
36155FB24C20A543CF14BDBE265C350B	Not Thirsty	목 안 마름
E17CA59945C0B61B296189B6D995431A	You aren't thirsty.	목 마르지 않다.
9EF8AF0644084FC7130914826B366778	Slushie Machine	슬러시 기계
704AA5E14A6189E91C3799AD8FFDACDC	buy a slushie ( ${cost} )	슬러시 구매 ( ${cost} )
30A6FA0F4FF29EA37E4602B279DEBE9B	You have ${1}	가진 돈 : ${1}
4C250BAB4E2DC0C77FD0689B34EAA9EF	Power Socket	콘센트
137C5C47446781D4C10ED787F85D8E50	Connected to {device}	{device}|hpp(과,와) 연결됨
D76E1F374C0D1FE3C326FF96C3C045AA	Set Bonus: {1} - {2} (Requires at least {3} pieces)	세트 보너스: {1} - {2} (최소 {3}개 필요함)
9CC601DC4EFC0582A55E06A4F6AEFD9F	Request Tram	트램 부르기
E35A709348D9EA282F3D7E94F961CAD5	RECALL LOCKED	복귀 불가
DBE05BA04B72BDA77C4F20A1B963F12B	Recall Tram in transit from {Station}	{Station}에서 출발한 트램 복귀시키기
787DF7484385336175067F90CADDDBA1	Send Tram to {Station}	{Station}|hpp(으로,로) 트램 보내기
A1A44C7B43B0380AA636C6BA607E59DA	Recall Tram from {Station}	{Station}에서 복귀시키기
E2C8DA1B46EF4685E708A3872A1934AB	Send Tram to UNKNOWN	[알 수 없음]으로 트램 보내기
B41745D84C01AB458D0123A1462B6A7F	Email Terminal	이메일 단말기
612994DE4521DF4EA2834493AD44B886	UPGRADE YOUR BENCH	제작대 업그레이드
682035E24DE7DA053F461C94CB51E7C9	REPAIR ITEM	소지품 수리
E87CECDD4A8F3C6980AB56891210724F	Click here and then click on the item you want to repair	이것을 클릭하고, 수리하고자 하는 소지품을 클릭하세요.
113D3E50435C364B75AA859719102F0A	SCRAP ITEM	소지품 분해
14D24E924EE991A39F8196A48E302F5F	Click here and then click on the item you want to scrap into other items	이것을 클릭하고, 분해해서 재료를 얻으려는 소지품을 클릭하세요.
93A8FA824D36828C4A0591B39174D624	CAUTION: This action can not be undone	주의: 이 행동은 되돌릴 수 없습니다
