AbioticFactor/Content/Blueprints/Environment/Special/MapPamphletBox_BP.uasset	783Bh		TAKE A MAP	지도 얻기
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	5B7ACh		bandaged	에게 붕대를 감아주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	61A41h		given pills/gave pills to	에게 알약을 주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	720D8h		bandaged	에게 붕대를 감아주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	92796h		splinted	에게 부목을 대주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	94411h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	992E4h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	A7AA9h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	AF6E2h		given pills/gave pills to	에게 알약을 주었습니다
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B81EDh		STAND CLEAR	작동 중
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B8281h		DURING OPERATION	접근 주의
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B831Ah		STAND CLEAR DURING OPERATION	작동 중 접근 주의
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B83BFh		STAND CLEAR DURING OPERATION	작동 중 접근 주의
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B8464h		STAND CLEAR DURING OPERATION	작동 중 접근 주의
AbioticFactor/Content/Maps/Facility.umap	14458529		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility.umap	14458661		SECURITY	보안
AbioticFactor/Content/Maps/Facility.umap	14458792		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility.umap	14458925		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility.umap	14459057		WILDLIFE PENS	야생 동물 우리
AbioticFactor/Content/Maps/Facility.umap	14459665		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility.umap	14459801		CONTAINMENT	격리 블록
AbioticFactor/Content/Maps/Facility.umap	14459935		GYM & POOL	체육실 & 수영장
AbioticFactor/Content/Maps/Facility.umap	14460068		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14460205		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14460342		REACTORS	반응로 구역
AbioticFactor/Content/Maps/Facility.umap	14460473		SYNAPTIC LABS	시냅스 연구소
AbioticFactor/Content/Maps/Facility.umap	14460609		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14460746		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility.umap	14460876		CLOUD REACTOR	구름 반응로
AbioticFactor/Content/Maps/Facility.umap	14461012		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility.umap	14461144		L1 TRAM PLAZA	1층 트램 광장
AbioticFactor/Content/Maps/Facility.umap	14461280		C. BLOCKS	격리 블록
AbioticFactor/Content/Maps/Facility.umap	14461412		ADJUSTMENT	조정동
AbioticFactor/Content/Maps/Facility.umap	14461545		VAC CHAMBER	진공 챔버
AbioticFactor/Content/Maps/Facility.umap	14461679		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_Botanical.umap	4945917		BIOLAB SECURITY	생물학연구소 보안초소
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946055		DELTA LAB	델타 연구실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946187		DOOR CONTROL	출입 제어실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946322		BIOLAB SECURITY	생물학연구소 보안초소
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946460		BIOLABS	생물학 연구소
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946590		01 BLAST DOOR	01 방폭문
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946726		VAULT DOOR	강화문
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946859		PROCESSING	처리실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4946992		EQUIPMENT	장비실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4949219	TextRenderActor	SECRET\r\nENTRANCE	비밀\r\n통로
AbioticFactor/Content/Maps/Facility_Containment.umap	6929035		CONTROL CENTER	관제 센터
AbioticFactor/Content/Maps/Facility_Containment.umap	6929172		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Containment.umap	6929307		CURIE BLOCK	퀴리 블록
AbioticFactor/Content/Maps/Facility_Containment.umap	6929441		INNER WING	내부동
AbioticFactor/Content/Maps/Facility_Containment.umap	6929574		HEAT EXCHANGE	열 교환
AbioticFactor/Content/Maps/Facility_Containment.umap	6929710		REACTOR FLOW	반응로 유체관
AbioticFactor/Content/Maps/Facility_Containment.umap	6929845		SYN. COOLANT	시냅스 연구소 냉각수
AbioticFactor/Content/Maps/Facility_Containment.umap	6929980		COOLING	냉각수
AbioticFactor/Content/Maps/Facility_Containment.umap	6930110		EXCESS RUNOFF	과잉 유출액
AbioticFactor/Content/Maps/Facility_Containment.umap	6930246		FLOW TRANSIT	유체 운반실
AbioticFactor/Content/Maps/Facility_Containment.umap	6930381		ASSESSMENT	평가실
AbioticFactor/Content/Maps/Facility_Containment.umap	6930514		ASSESSMENT	평가실
AbioticFactor/Content/Maps/Facility_Containment.umap	6930647		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Containment.umap	6930777		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Containment.umap	6930907		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility_Containment.umap	6931040		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Containment.umap	6931174		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Dam.umap	7722015		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility_Dam.umap	7722148		LOWER ACCESS	저층 접근로
AbioticFactor/Content/Maps/Facility_Dam.umap	7722283		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7722421		RELEASE DRAIN	배수 활성화
AbioticFactor/Content/Maps/Facility_Dam.umap	7722557		DOCKS	정박지
AbioticFactor/Content/Maps/Facility_Dam.umap	7722685		ROBOTICS	로보틱스
AbioticFactor/Content/Maps/Facility_Dam.umap	7722816		MONITORING	모니터링
AbioticFactor/Content/Maps/Facility_Dam.umap	7722949		TRAM STATION	트램 정거장
