AbioticFactor/Content/Blueprints/Environment/Special/MapPamphletBox_BP.uasset	784Bh		TAKE A MAP	지도 얻기
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	5E287h		bandaged	에게 붕대를 감아주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	6451Ch		given pills/gave pills to	에게 알약을 주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	74BB3h		bandaged	에게 붕대를 감아주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	96D5Eh		splinted	에게 부목을 대주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	989D9h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	9D8ACh		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	AC071h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	B3CAAh		given pills/gave pills to	에게 알약을 주었습니다
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B8916h		STAND CLEAR	작동 중
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B89AAh		DURING OPERATION	접근 주의
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B8A43h		STAND CLEAR DURING OPERATION	작동 중 접근 주의
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B8AE8h		STAND CLEAR DURING OPERATION	작동 중 접근 주의
AbioticFactor/Content/Maps/Facility_Botanical.umap	4B8B8Dh		STAND CLEAR DURING OPERATION	작동 중 접근 주의
AbioticFactor/Content/Maps/Facility.umap	14468143		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility.umap	14468275		SECURITY	보안
AbioticFactor/Content/Maps/Facility.umap	14468406		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility.umap	14468539		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility.umap	14468671		WILDLIFE PENS	야생 동물 우리
AbioticFactor/Content/Maps/Facility.umap	14469279		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility.umap	14469415		CONTAINMENT	격리 블록
AbioticFactor/Content/Maps/Facility.umap	14469549		GYM & POOL	체육실 & 수영장
AbioticFactor/Content/Maps/Facility.umap	14469682		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14469819		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14469956		REACTORS	반응로 구역
AbioticFactor/Content/Maps/Facility.umap	14470087		SYNAPTIC LABS	시냅스 연구소
AbioticFactor/Content/Maps/Facility.umap	14470223		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14470360		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility.umap	14470490		CLOUD REACTOR	구름 반응로
AbioticFactor/Content/Maps/Facility.umap	14470626		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility.umap	14470758		L1 TRAM PLAZA	1층 트램 광장
AbioticFactor/Content/Maps/Facility.umap	14470894		C. BLOCKS	격리 블록
AbioticFactor/Content/Maps/Facility.umap	14471026		ADJUSTMENT	조정동
AbioticFactor/Content/Maps/Facility.umap	14471159		VAC CHAMBER	진공 챔버
AbioticFactor/Content/Maps/Facility.umap	14471293		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_Botanical.umap	4947750		BIOLAB SECURITY	생물학연구소 보안초소
AbioticFactor/Content/Maps/Facility_Botanical.umap	4947888		DELTA LAB	델타 연구실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948020		DOOR CONTROL	출입 제어실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948155		BIOLAB SECURITY	생물학연구소 보안초소
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948293		BIOLABS	생물학 연구소
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948423		01 BLAST DOOR	01 방폭문
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948559		VAULT DOOR	강화문
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948692		PROCESSING	처리실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4948825		EQUIPMENT	장비실
AbioticFactor/Content/Maps/Facility_Botanical.umap	4951052	TextRenderActor	SECRET\r\nENTRANCE	비밀\r\n통로
AbioticFactor/Content/Maps/Facility_Containment.umap	6933360		CONTROL CENTER	관제 센터
AbioticFactor/Content/Maps/Facility_Containment.umap	6933497		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Containment.umap	6933632		CURIE BLOCK	퀴리 블록
AbioticFactor/Content/Maps/Facility_Containment.umap	6933766		INNER WING	내부동
AbioticFactor/Content/Maps/Facility_Containment.umap	6933899		HEAT EXCHANGE	열 교환
AbioticFactor/Content/Maps/Facility_Containment.umap	6934035		REACTOR FLOW	반응로 유체관
AbioticFactor/Content/Maps/Facility_Containment.umap	6934170		SYN. COOLANT	시냅스 연구소 냉각수
AbioticFactor/Content/Maps/Facility_Containment.umap	6934305		COOLING	냉각수
AbioticFactor/Content/Maps/Facility_Containment.umap	6934435		EXCESS RUNOFF	과잉 유출액
AbioticFactor/Content/Maps/Facility_Containment.umap	6934571		FLOW TRANSIT	유체 운반실
AbioticFactor/Content/Maps/Facility_Containment.umap	6934706		ASSESSMENT	평가실
AbioticFactor/Content/Maps/Facility_Containment.umap	6934839		ASSESSMENT	평가실
AbioticFactor/Content/Maps/Facility_Containment.umap	6934972		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Containment.umap	6935102		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Containment.umap	6935232		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility_Containment.umap	6935365		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Containment.umap	6935499		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Dam.umap	7732441		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility_Dam.umap	7732574		LOWER ACCESS	저층 접근로
AbioticFactor/Content/Maps/Facility_Dam.umap	7732709		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7732847		RELEASE DRAIN	배수 활성화
AbioticFactor/Content/Maps/Facility_Dam.umap	7732983		DOCKS	정박지
AbioticFactor/Content/Maps/Facility_Dam.umap	7733111		ROBOTICS	로보틱스
AbioticFactor/Content/Maps/Facility_Dam.umap	7733242		MONITORING	모니터링
AbioticFactor/Content/Maps/Facility_Dam.umap	7733375		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam.umap	7733510		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam.umap	7733645		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam.umap	7733780		RESIDENCES	주거 구역
AbioticFactor/Content/Maps/Facility_Dam.umap	7733913		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7734051		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7734189		TRANSFORMERS	변전소
AbioticFactor/Content/Maps/Facility_Dam.umap	7734324		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2469642		SPILLWAY C	배수로 C
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2469775		SPILLWAY B	배수로 B
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2469908		STORAGE DECK	창고 데크
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2470043		STORAGE DECK	창고 데크
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1979771		ELECTRICAL	전력소
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1979905		SYSTEMS	시스템
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1980035		LOCKERS	락커
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1980167		MAINFRAME	메인프레임
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1980302		FLOW VALVES	유량 밸브
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1980439		TRANSMITTER	송신기
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1980574		SYSTEMS CHIEF	시스템 관리자
AbioticFactor/Content/Maps/Facility_Dam_Lower.umap	1321764		ROBOTICS	로보틱스
AbioticFactor/Content/Maps/Facility_Dam_Waterfall.umap	1453389		EXERCISE	헬스장
AbioticFactor/Content/Maps/Facility_Dam_Waterfall.umap	1453520		MAINFRAME	메인프레임
AbioticFactor/Content/Maps/Facility_Dam_Waterfall.umap	1453652		MAINFRAME	메인프레임
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5680228		SYNAPTIC LABS	시냅스 연구소
