AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11806	SecurityBot_Title	G.A.S.S.	G.A.S.S.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11867	SecurityBot_Subtitle	Security Bot	보안 로봇
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11984	SecurityBot_Sections_Index0_SectionText	Designed to protect GATE Facilities from internal threats, the GATE Automated Security Sentience (G.A.S.S.) program was initiated in 1985 after the infamous Torii Facility 'Decompression' event.\r\n\r\nThe aim of the project remains to create fully sentient artificial intelligence, but at present the robots are best suited to patrol operations in low-security sectors and keeping the vending machines well-stocked.	내부 위협으로부터 GATE 시설들을 지키기 위해 설계된, GATE 자동화 보안 지각(G.A.S.S., GATE Automated Security Sentience) 프로그램은 악명 높은 토리이 시설의 '감압' 사건 이후 1985년에 시작되었다.\r\n\r\n이 프로젝트의 목표는 완전한 지각의 인공 지능을 만드는 것이지만, 현재의 로봇들은 저위험 구역의 순찰 작전과 자판기의 재고를 채워넣는 것이 그 능력의 전부다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12525	ContainmentBot_Title	G.A.I.A.	G.A.I.A.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12589	ContainmentBot_Subtitle	Containment Bot	격리 로봇
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12712	ContainmentBot_Sections_Index0_SectionText	A recent addition to the GATE's security apparatus, the GATE Automated Immurement Automaton, or "Containment Bot" for short, builds on the Security Bot architecture originally designed by Dr. Alice Mayfield by adding immurement protocols devised by Dr. Stewart Wakeman. The unit is currently undergoing field evaluation at the Cascade Research Facility.	GATE 보안 시스템에 최근 추가된 GATE 수용 자동화 장치 (GATE Automated Immurement Automaton), 짧게는 "격리 로봇"이라고 한다. 앨리스 메이필드 박사가 설계한 보안 로봇의 구조를 바탕으로 스튜워트 웨이크먼 박사가 고안한 격리 절차가 추가되었다. 해당 기계는 현재 캐스케이드 연구 시설에서 현장 평가를 받고 있다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13190	DefenseBot_Title	G.A.D.D.	G.A.D.D.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13250	DefenseBot_Subtitle	Defense Bot	방어 로봇
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13358	DefenseBot_Sections_Index0_SectionText	An advancement on the original G.A.S.S. 'Security Bot' designed by Dr. Alice Mayfield and Dr. Stewart Wakeman, the Gate Automated Defense Droid is a militarized prototype currently undergoing field tests.\r\n\r\nDeployed prematurely during the Order's invasion, the unit's friend/foe distinction capabilities are a work in progress. Notably, the tendency of its rear power unit to explode under heavy damage is yet to be rectified.	앨리스 메이필드 박사와 스튜워트 웨이크먼 박사가 설계한 G.A.S.S. '보안 로봇'의 발전된 형태인 GATE 자동화 방어 드로이드 (GATE Automated Defense Droid)는 현재 현장 테스트 중인 군용 프로토타입이다.\r\n\r\n교단의 습격으로 인해 조기 투입되었으며, 피아식별 기능은 아직 수정 중이다. 특히, 후방 전원 장치가 심각한 피해를 입을 경우 폭발하는 현상은 아직 고쳐지지 않았다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13910	OrderGrunt_Title	Order: Triarii	교단: 트리아리이
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13976	OrderGrunt_Subtitle	Grunt	엘리트
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14085	OrderGrunt_Sections_Index0_SectionText	Trained as thoroughly in gnostic theology as close-quarter battle tactics, the Order's Triarii are conditioned to overcome enemies both physical and spiritual. Battle-hardened by years of clandestine deployments, Triarii are the Order's first, finest and usually final footsoldiers.	신학 이론과 근접 전투 기술을 철저하게 훈련받은 교단의 트리아리이는, 물리적이고 영적인 적을 모두 상대할 준비가 되어있다. 수년에 걸친 비밀스러운 파병으로 전투 경험이 풍부한 트리아리이는 교단의 으뜸이자, 정예이자, 대개 최후의 보병이다.
